Time,Sensor1,Sensor2,Sensor3,Sensor4
0,0,0,0,0
0.0000005078544034538374,0,0,0,0
0.0000010157088069076748,0,0,0,0
0.0000015235632103615122,0,0,0,0
0.0000020314176138153497,0,0,0,0
0.000002539272017269187,0,0,0,0
0.0000030471264207230245,0.06286161910775066,0,0,0
0.000003554980824176862,0.1419152734813534,0,0.0019264766205189722,0
0.000004062835227630699,0.17903245765884912,0,0.004380713383592081,0.017234104766370294
0.000004570689631084537,0.18224637324471563,0,0.006416623170184271,0.028398045868360023
0.000005078544034538374,0.17248424230705,0,0.008069863550316015,0.03364062474933668
0.000005586398437992212,0.15772610449396404,0,0.009019919249698586,0.03939813184691596
0.000006094252841446049,0.14298735374548266,0,0.00933556674829155,0.0438467514422182
0.000006602107244899886,0.1311328593376683,0,0.008922782008417058,0.04767732812136421
0.000007109961648353724,0.12049057718480398,0,0.007769289514437169,0.05161494600823642
0.000007617816051807561,0.11342414888440741,0,0.0063658161212446565,0.05480583728212278
0.000008125670455261399,0.10564653676215496,0,0.00493342844831039,0.05987286559849728
0.000008633524858715236,0,10.046461065423513,0.022369715726786532,0
0.000009141379262169073,0,5.60658687620711,0.04253628653983647,0
0.000009649233665622911,0,3.466331920636297,0.04523950546339575,0
0.000010157088069076748,0,2.3015822972295394,0.0411077754621411,0.0023850254007791085
0.000010664942472530586,0,1.6089468777171305,0.0360225790403532,0.018288617752346963
